Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Climate Watch,Total excluding LUCF,All GHG,11.62708006,11.89693538,11.54544519,11.67716791,11.73113082,12.18112823,13.23210066,14.21607759,15.06290522,15.98033284,14.20679797,12.60563625,15.25837063,15.9511746,15.57077178,16.63562656,17.26531222,18.2188393,21.34676288,24.31398024,28.58629062,32.44798432,30.93832344,30.41117624,31.07209822,31.47383157,30.6664502,31.5113719,32.71721927,33.05856288,34.1548591,32.84041778,32.73123541
AFG,Climate Watch,Total including LUCF,All GHG,9.238336865,9.508192179,9.156701993,9.288424707,9.342387621,9.792385035,10.84350456,11.82740419,12.67441142,13.59161214,11.81868067,12.72753785,15.38027223,16.0730762,15.69267338,16.75752816,17.38721382,18.3407409,21.46866448,24.43588184,28.70819222,32.20176522,30.69210434,30.16495714,30.82587912,31.22761247,30.8211076,31.6660293,32.87187667,33.21322028,34.3095165,32.99507518,32.88589281
AFG,Climate Watch,Energy ,All GHG,2.280285183,2.136022844,1.681060505,1.644098166,1.570135827,1.496573488,1.446504622,1.382435756,1.357266889,1.162598023,1.158729157,1.165880575,1.469031993,1.71428341,1.347234828,2.014186246,2.553465554,3.341255576,5.088945598,7.498124906,9.737514928,13.3250357,11.7573281,11.11532397,11.12765372,12.04413714,11.20653882,11.94661908,12.8635225,13.14471348,13.87100445,12.56831135,12.1933307
AFG,Climate Watch,Industrial Processes ,All GHG,0.052709382,0.055380307,0.058051231,0.061942156,0.064613081,0.067284005,0.081484146,0.095274288,0.109064429,0.122854571,0.099464712,0.101783,0.112275289,0.117052577,0.123052865,0.125457154,0.154549929,0.177103705,0.203857481,0.224611257,0.249415033,0.314576264,0.394037495,0.465778726,0.523989957,0.601661188,0.789337477,0.910723765,1.075560054,1.209746342,1.384822631,1.433066871,1.51992111
AFG,Climate Watch,Agriculture ,All GHG,8.0654688,8.3891105,8.4021067,8.4790958,8.5165451,8.9496289,9.9774717,10.952729,11.751937,12.791245,10.9859705,9.2830322,11.529816,11.8802844,11.768623,12.0718152,12.0555084,12.1210713,13.3969307,13.8565946,15.7870908,15.9020909,15.7866648,15.7357689,16.2321383,15.5457054,15.3051893,15.2055877,15.2466386,15.0895482,15.2014204,15.0605219,15.1585599
AFG,Climate Watch,Waste ,All GHG,1.2286167,1.316421728,1.404226757,1.492031785,1.579836813,1.667641842,1.726640194,1.785638546,1.844636899,1.903635251,1.962633603,2.054940474,2.147247345,2.239554215,2.331861086,2.424167957,2.501788337,2.579408717,2.657029097,2.734649477,2.812269856,2.906281453,3.000293051,3.094304648,3.188316245,3.282327842,3.365384598,3.448441354,3.53149811,3.614554866,3.697611622,3.77851766,3.859423698
AFG,Climate Watch,Land-Use Change and Forestry,All GHG,-2.3887432,-2.3887432,-2.3887432,-2.3887432,-2.3887432,-2.3887432,-2.3885961,-2.3886734,-2.3884938,-2.3887207,-2.3881173,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,-0.2462191,-0.2462191,-0.2462191,-0.2462191,-0.2462191,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574
AFG,Climate Watch,Bunker Fuels ,All GHG,0.0194,0.0194,0.0194,0.0194,0.0162,0.0162,0.0162,0.0162,0.0162,0.0163,0.0163,0.0163,0.0163,0.0261,0.0326,0.0651,0.0813,0.1138,0.1554,0.2365,0.3485,0.9819,0.285,0.1865,0.1843,0.0928,0.0706,0.1944,0.1723,0.0308,0.0368,0.0398,0.0383
AFG,Climate Watch,Total excluding LUCF,CO2,2.04457,1.93967,1.52407,1.52769,1.49309,1.45889,1.4083,1.3433,1.3172,1.1216,1.07962,1.089238,1.40303,1.653207,1.292307,1.961811,2.28388,2.84801,4.37624,6.55987,8.57785,11.96359,10.20903,9.37205,9.17594,9.90349,9.08873,9.78518,10.70188,10.95233,11.68877,10.33424,9.94592
AFG,Climate Watch,Total excluding LUCF,CH4,6.73490274,7.01820111,7.12376198,7.20919035,7.46221872,7.824354591,8.671811366,9.396950642,9.959927417,10.78237419,9.560368468,8.347400451,10.19679993,10.50220942,10.4997339,10.73161338,11.17649428,11.6103584,12.90347501,13.38525341,15.19545003,15.50038376,15.63189892,15.82293765,16.29998531,15.94384404,15.81324921,15.59086045,15.8874949,16.07854686,16.32066381,16.43130426,16.6399272
AFG,Climate Watch,Total excluding LUCF,N2O,2.840667942,2.929453962,2.885331981,2.9253354,2.75819902,2.877589639,3.11790515,3.42795266,3.724113371,4.000904081,3.477564792,3.073752798,3.557295404,3.68851261,3.665485017,3.822956023,3.662568009,3.594977196,3.878430382,4.157115569,4.578125555,4.684024298,4.732287029,4.785959866,5.100822956,5.066026341,5.051263513,5.269387685,5.10916431,4.856269682,4.821272654,4.658146652,4.636087103
