Country Code,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,]
ABW,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,1040067814,1207294404,1432438495,1606191001,1669818679,1802784198,1908830346,2048321812,2216364112,2272818090,2299768906,2461830746,2510870032,2541955653,2735726916,2850135060,2823202610,2854554404,3062757840,3051023261,3085420847,3180746294,3239137008,2860878966,2782678075,2876433100,2846495188,3029567030,2981500673,2962907263,3013858156,3226290954,3303627900,3229876376,2383266969,2958411905,3210407009,3347289756,
AFE,Africa Eastern and Southern,1.52486E+11,1.532E+11,1.65257E+11,1.74548E+11,1.82735E+11,1.92164E+11,2.01431E+11,2.12255E+11,2.21072E+11,2.32326E+11,2.34955E+11,2.47827E+11,2.54692E+11,2.66426E+11,2.81014E+11,2.84962E+11,2.91752E+11,2.95026E+11,2.99479E+11,3.08255E+11,3.25094E+11,3.38138E+11,3.39206E+11,3.39342E+11,3.50765E+11,3.50313E+11,3.58251E+11,3.72418E+11,3.88332E+11,3.98795E+11,3.99494E+11,3.99104E+11,3.89737E+11,3.87403E+11,3.94875E+11,4.1179E+11,4.3424E+11,4.50925E+11,4.58826E+11,4.70985E+11,4.86127E+11,5.03169E+11,5.22471E+11,5.37917E+11,5.678E+11,6.02796E+11,6.42447E+11,6.8515E+11,7.15079E+11,7.21307E+11,7.59044E+11,7.89898E+11,8.03697E+11,8.38589E+11,8.72073E+11,8.98278E+11,9.17993E+11,9.42637E+11,9.67773E+11,9.89009E+11,9.60681E+11,1.00465E+12,1.04035E+12,1.06449E+12,
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6206547590,5621147631,7228795919,7867263256,7978515642,8874480196,9349921886,10642671963,11060395116,13426272073,15354612542,15420077666,17386490239,18360263163,18860496494,19134221645,19566715174,20084646751,20323499020,21118473702,20621957125,16345202563,15325233810,15740683549,
AFW,Africa Western and Central,1.0842E+11,1.10451E+11,1.14552E+11,1.22699E+11,1.29342E+11,1.34672E+11,1.32628E+11,1.20634E+11,1.22524E+11,1.41172E+11,1.65889E+11,1.83375E+11,1.89175E+11,1.96771E+11,2.16488E+11,2.11858E+11,2.29708E+11,2.40194E+11,2.35557E+11,2.47559E+11,2.52343E+11,2.35315E+11,2.27655E+11,2.13224E+11,2.14354E+11,2.25784E+11,2.28853E+11,2.32143E+11,2.42949E+11,2.47103E+11,2.61339E+11,2.63995E+11,2.70256E+11,2.66725E+11,2.65844E+11,2.70836E+11,2.834E+11,2.95896E+11,3.06558E+11,3.1126E+11,3.23301E+11,3.40022E+11,3.73939E+11,3.94677E+11,4.26202E+11,4.51024E+11,4.75249E+11,5.01534E+11,5.33024E+11,5.66454E+11,6.05934E+11,6.3534E+11,6.68175E+11,7.09335E+11,7.51328E+11,7.71767E+11,7.73008E+11,7.90708E+11,8.13202E+11,8.39492E+11,8.31063E+11,8.64619E+11,8.97385E+11,9.2749E+11,
AGO,Angola,,,,,,,,,,,,,,,,,,,,,23063262074,22048478262,22048478262,22974514664,24352986041,25205340428,25936295740,26995209500,28649716325,28661640755,27672785865,27947122601,26315491127,20004137038,20272065135,23312874912,26470456890,28395991341,29728088881,30376604084,31304495194,32621161810,37079068253,38187732393,42369289093,48737393240,54366562158,61983317521,68906854084,69499453031,72556300250,75075493557,81488522604,85525963564,89650503848,90496420507,88161567931,88031782694,86872966033,86262880685,81399194251,82375341953,84883445838,85733374750,
ALB,Albania,,,,,,,,,,,,,,,,,,,,,4650626379,4917834409,5062841518,5118782791,5054716277,5144722777,5434743311,5391926085,5315358596,5838206448,5279160806,3800882719,3527709062,3864937294,4185837882,4743489157,5175146643,4610021454,5017059783,5663799109,6057218862,6559562959,6857139117,7236245480,7635300387,8057259479,8532852034,9043394715,9721653066,10047745439,10420209148,10685445792,10836884503,10945471987,11139693789,11386853113,11764325094,12211675170,12702504600,12964502337,12534895530,13659219677,14318507637,14882173625,
AND,Andorra,,,,,,,,,,,859121720.6,899066287.4,972337884,1048068102,1106956843,1112958826,1149728616,1182364531,1199662526,1200161073,1226669362,1225044338,1240314039,1262269065,1284796613,1314622306,1357391200,1432687348,1505673115,1578352472,1638036096,1679740553,1695348938,1677861678,1717848180,1765217871,1847295889,2014802622,2079171403,2164398280,2240766094,2422701909,2532846713,2753057567,2977037420,3137731826,3288615582,3339693969,3154034157,2986780566,2927792904,2927556638,2781926981,2683235436,2750436143,2789881259,2893376872,2903390036,2949518095,3008967037,2672445971,2893905657,3170696512,3252613194,
ARB,Arab World,,,,,,,2.56199E+11,2.73551E+11,3.03098E+11,3.2572E+11,3.99839E+11,4.29597E+11,4.89397E+11,5.54287E+11,6.12377E+11,6.12383E+11,7.00033E+11,7.46373E+11,7.68432E+11,8.50273E+11,9.03846E+11,9.11414E+11,8.57504E+11,8.25625E+11,8.36129E+11,8.29355E+11,8.22639E+11,8.24877E+11,8.51728E+11,8.84396E+11,9.53797E+11,9.46756E+11,1.00897E+12,1.04199E+12,1.07711E+12,1.1074E+12,1.16086E+12,1.22428E+12,1.28268E+12,1.31849E+12,1.40227E+12,1.43176E+12,1.44936E+12,1.51141E+12,1.6486E+12,1.74041E+12,1.84998E+12,1.93526E+12,2.04297E+12,2.05623E+12,2.15568E+12,2.23263E+12,2.34432E+12,2.4041E+12,2.46474E+12,2.5447E+12,2.63667E+12,2.67722E+12,2.74763E+12,2.79115E+12,2.65963E+12,2.76685E+12,2.92515E+12,2.95501E+12,
ARE,United Arab Emirates,,,,,,,,,,,14070592924,19222171571,26734126557,47217855773,54063519989,57430272384,66921691092,81269253401,79977394650,96711523265,1.19801E+11,1.25383E+11,1.16958E+11,1.11407E+11,1.15883E+11,1.11717E+11,95006426304,98219526264,95647247524,1.07448E+11,1.27141E+11,1.28235E+11,1.32524E+11,1.34195E+11,1.4345E+11,1.53044E+11,1.61918E+11,1.75179E+11,1.75691E+11,1.8079E+11,2.0041E+11,2.03214E+11,2.08159E+11,2.26479E+11,2.48144E+11,2.60192E+11,2.85788E+11,2.94889E+11,3.04301E+11,2.88347E+11,2.92969E+11,3.1118E+11,3.16857E+11,3.32876E+11,3.46743E+11,3.70275E+11,3.90868E+11,3.93741E+11,3.98915E+11,4.03336E+11,3.83343E+11,4.00036E+11,4.30078E+11,4.45641E+11,
ARG,Argentina,1.50798E+11,1.58983E+11,1.57628E+11,1.49261E+11,1.64382E+11,1.81756E+11,1.80557E+11,1.8632E+11,1.95305E+11,2.1421E+11,2.20734E+11,2.33224E+11,2.37021E+11,2.43686E+11,2.57171E+11,2.57098E+11,2.51909E+11,2.69377E+11,2.57238E+11,2.83535E+11,2.87842E+11,2.72903E+11,2.70896E+11,2.82677E+11,2.87117E+11,2.72219E+11,2.88969E+11,2.96785E+11,2.93551E+11,2.72541E+11,2.65817E+11,2.90095E+11,3.1312E+11,3.38818E+11,3.58592E+11,3.48389E+11,3.67644E+11,3.97464E+11,4.12767E+11,3.98793E+11,3.95646E+11,3.78203E+11,3.36999E+11,3.6678E+11,3.99899E+11,4.35297E+11,4.70326E+11,5.12691E+11,5.33492E+11,5.01917E+11,5.52738E+11,5.85924E+11,5.7991E+11,5.93859E+11,5.78938E+11,5.94749E+11,5.82377E+11,5.98791E+11,5.83118E+11,5.71451E+11,5.14874E+11,5.68637E+11,5.98603E+11,5.8896E+11,
