Country Code,Country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Afghanistan,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3282935,3288817,3297661,3309479,3324285,3339157,3354095,3369101,3384173,3399313,3414520,3429796,3445140,3460553,3476034,3491585,3507205,3522896,3538656,3554487,3570389,3586362,3602406,3618522,3634711,3650971,3667305,3683711,3700191,3716745,3734342,3752993,3769828,3787706,3806634,3825655,3844769,3863976,3883276,3902671,3922160,3941745,3961424,3981200,4001072,4021041,4041107,4061270,4081532,4101893,4122358,4142928,4163604,4184386,4205274,4226265,4247357,4268552,4289851,4311253,4332759,4354370,4376086,4397907,4419835,4441869,4464010,4486259,4508616,4531082,4553657,4576341,4599136,4622041,4645058,4668186,4691426,4714779,4738246,4761826,4793171,4832414,4879685,4935122,4998861,5063419,5128808,5195038,5262120,5330065,5467828,5681487,5977589,6363186,6845878,7365181,7923871,8524936,9171589,9875230,10338650,10558857,10531818,10252425,9714452,9204707,8721710,8264058,7830419,7419535,7099916,6866773,6715569,6642004,6642004,6642004,6642004,6642004,6642004,6642004,6662371,6703416,6765457,6848816,6953820,7060433,7168681,7278589,7390182,7503485,7624058,7752117,7840151,7935996,8039684,8151316,8270992,8398873,8535157,8680097,8833947,9035043,9214083,9404406,9604487,9814318,10036008,10266395,10505959,10756922,11017409,11290128,11567667,11853696,12157999,12469127,12773954,13059851,13340756,13611441,13655567,13169311,11937581,10991378,10917982,11190221,11426852,11420074,11387818,11523298,11874088,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761
AGO,Angola,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1571640,1580933,1594974,1613834,1637584,1661683,1686138,1710952,1736131,1761680,1787606,1813913,1840608,1867695,1895181,1923071,1951372,1980089,2009229,2038798,2068802,2099247,2130141,2161489,2193299,2225576,2258329,2291563,2325287,2359507,2390443,2418020,2445639,2469804,2490423,2511209,2532163,2553287,2574582,2596050,2617734,2639636,2661759,2684105,2706676,2729431,2752372,2775501,2798819,2822327,2844907,2866541,2887214,2906908,2925605,2944418,2963345,2982389,3001550,3020828,3040210,3059698,3079292,3098992,3118798,3138726,3158775,3178946,3199240,3219658,3233687,3241303,3242479,3237188,3225405,3213659,3201949,3190277,3178642,3167043,3153583,3138277,3121144,3102199,3081459,3060853,3040379,3020037,2999825,2979744,2962141,2946996,2934290,2924003,2916116,2908245,2900390,2892552,2884730,2873191,2872529,2882863,2904314,2937004,2981059,3025775,3071162,3117230,3163988,3211448,3258958,3306510,3354095,3401704,3449328,3497619,3546586,3596238,3646585,3697637,3752445,3811116,3873759,3940488,4011417,4083622,4157127,4231956,4308131,4385677,4465620,4548021,4616552,4713160,4823330,4935956,5043251,5140910,5228005,5306538,5380718,5231654,5301583,5354310,5408320,5464187,5521981,5581386,5641807,5702699,5763685,5852788,5991102,6174262,6388528,6613367,6842947,7074664,7317829,7576734,7847207,8133872,8435607,8751648,9082983,9425917,9779120,10139450,10497858,10861291,11238562,11626360,12023529,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906
ALB,Albania,400000,401773,403554,405343,407140,408945,410758,412579,414408,416246,418099,419953,421814,423684,425563,427449,429344,431248,433159,435086,437026,438981,440950,442934,444927,446929,448940,450959,452988,455027,457074,459130,461196,463271,465356,467449,469552,471665,473787,475919,478060,480211,482372,484542,486722,488912,491112,493321,495541,498261,501490,505377,509789,514733,519724,524764,529853,534991,540179,545417,550706,556046,561438,566882,572378,577928,583532,589190,594903,600661,606465,612314,618209,624151,630149,636206,642320,648493,654726,661018,667371,673785,680260,686798,693398,700062,706789,713582,720439,727425,734542,741792,749176,756696,764292,771964,779713,787540,795445,803288,811069,818784,826432,834010,841658,849375,857164,865024,872955,880526,887729,894559,901008,907070,913173,919317,925502,931729,937735,943550,949173,954600,959829,964858,969914,974995,980104,985239,990401,996604,1003863,1012195,1021616,1032142,1042776,1053520,1064375,1075341,1086421,1098015,1110133,1122787,1135986,1149741,1163663,1177753,1192014,1206448,1221056,1239906,1263164,1287499,1316090,1348113,1382898,1419991,1459115,1500180,1543256,1588506,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972
AND,Andorra,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2658,2665,2677,2692,2711,2730,2749,2769,2788,2808,2828,2848,2868,2888,2908,2929,2950,2970,2991,3013,3034,3055,3077,3099,3120,3142,3165,3187,3210,3232,3255,3278,3301,3324,3347,3370,3393,3417,3440,3464,3488,3512,3537,3561,3586,3611,3636,3661,3686,3712,3738,3763,3789,3816,3842,3869,3896,3923,3950,3977,4005,4032,4060,4088,4117,4145,4174,4203,4232,4261,4291,4321,4351,4381,4411,4442,4472,4503,4535,4566,4598,4629,4662,4694,4726,4759,4792,4825,4859,4892,4937,4994,5063,5145,5239,5334,5432,5531,5632,5735,5798,5818,5798,5735,5632,5530,5430,5332,5236,5141,5077,5042,5037,5062,5115,5170,5225,5280,5336,5393,5450,5508,5567,5626,5685,5746,5807,5868,5931,5994,6082,6198,6693,7251,7859,8533,9231,9984,10778,11614,12495,9510,10283,11086,11915,12764,13634,14626,15837,17176,18555,19977,21442,22957,24523,26130,27773,29436,31097,32735,34306,35782,37169,38764,40565,42273,43825,45734,47653,49416,50620,52597,56667,60200,63272,64612,63912,63984,64700,65382,65710,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856
ARE,United Arab Emirates,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40153,40127,40101,40074,40048,40022,39996,39970,39943,39917,39891,39865,39839,39812,39786,39760,39734,39708,39681,39703,39772,39889,40054,40267,40482,40697,40914,41132,41351,41571,41793,42015,42239,42464,42690,42917,43145,43375,43606,43838,44071,44305,44541,44778,45016,45255,45496,45738,45981,46226,46471,46718,46967,47216,47467,47719,47973,48228,48484,48766,49074,49409,49770,50159,50550,50945,51342,51743,52182,52626,53072,53523,53978,54436,54898,55365,55835,56309,56787,57269,57756,58246,58741,59240,59743,60250,60762,61278,61798,62323,62852,63386,63924,64467,65014,65566,66123,66685,67251,68215,69594,67466,69235,72771,76523,79579,81624,82963,84420,87188,131334,137989,144946,152211,159692,167103,173976,179700,199416,239660,286536,335027,385014,436399,489087,542856,615866,710209,809274,912010,1015700,1099855,1166370,1235305,1305996,1377911,1467383,1574244,1681788,1789851,1898220,2006626,2114730,2222093,2328188,2434662,2597564,2817410,3040421,3266009,3493575,3723590,3956826,4192457,4428967,4664790,5009100,5624635,6302664,6707058,6869838,7104538,7391448,7693031,8059440,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751
ARG,Argentina,534000,519565,505520,491855,478559,465622,453035,440789,428873,417280,419661,422044,429196,441120,453376,465972,478918,492224,505900,518837,530996,542336,552814,562385,572122,582027,592104,602355,612784,623653,634974,646761,659027,671785,684790,698047,711561,725336,739378,756337,776366,799625,826281,856507,887839,920317,953983,988880,1025054,1058278,1088372,1115037,1138181,1157597,1177346,1197431,1217858,1238634,1259765,1285261,1315328,1350176,1390026,1435105,1481646,1529696,1579305,1630522,1683400,1737824,1793839,1851491,1910827,1971896,2034917,2099952,2167065,2236323,2307795,2381550,2457663,2536208,2617264,2700910,2787229,2876307,2968232,3063095,3160989,3262972,3369205,3479859,3595108,3715134,3839167,3967341,4099794,4236670,4378115,4528806,4689224,4859874,5041283,5234002,5434089,5641825,5857502,6081424,6313906,6538902,6755700,6963548,7161653,7349182,7541621,7739100,7941749,8149705,8363921,8590120,8828805,9080500,9345749,9625115,9912832,10209150,10514325,10828623,11152315,11456721,11740751,12003277,12243128,12459087,12678855,12902500,13130090,13361694,13597383,13841849,14095334,14358089,14630369,14912438,15199944,15492994,15791693,16096152,16406480,16720391,17037910,17390378,17742980,18094290,18443313,18789415,19132405,19472473,19810165,20146307,20386045,20726276,21072538,21421705,21769453,22112629,22453893,22799059,23150583,23508711,23878327,24257208,24644328,25046005,25461351,25874107,26282283,26701805,27132158,27568895,28011596,28463959,28924262,29391332,29863093,30336441,30811980,31291762,31780532,32270948,32755901,33230294,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401
ARM,Armenia,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,414085,415609,417905,420982,424845,428744,432678,436649,440655,444699,448780,452898,457054,461249,465481,469753,474064,478414,482804,487235,491706,496218,500772,505367,510004,514685,519408,524174,528984,533838,538737,543681,548544,553450,558400,563394,568433,573517,578646,583821,589043,594311,599626,604988,610399,615858,621366,626923,632529,638186,643893,649651,655461,661323,667237,673204,679224,685298,691426,697609,703848,710142,716492,722899,729363,735885,742466,749105,755803,762562,769380,776260,783201,790204,797270,804399,811591,818848,826170,833557,841010,848530,856117,863771,871494,879286,887148,895080,903083,911157,919304,927523,935816,944182,952624,961141,969734,978404,987151,996209,1005351,1014577,1023887,1033283,1042765,1052334,1061991,1071737,1081571,1091497,1101513,1111621,1121822,1132116,1142505,1152990,1163570,1174248,1185024,1195898,1206872,1217947,1229124,1240403,1251786,1263273,1274866,1286564,1298371,1310285,1328575,1353502,1381870,1418275,1461425,1510178,1563512,1620594,1680713,1743306,1807908,1863705,1927484,1991689,2056023,2120135,2183635,2246159,2307492,2367319,2424030,2475633,2525345,2577079,2630860,2686445,2743660,2818165,2912827,3012807,3078501,3107415,3135349,3163144,3191539,3224547,3260432,3294847,3328520,3355125,3443100,3552128,3613977,3571861,3453332,3364610,3307581,3278735,3246289,3208401,3167286,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2990900
ATG,Antigua and Barbuda,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,36993,36987,36980,36974,36967,36961,36954,36947,36900,36812,36683,36514,36305,36098,35891,35686,35482,35279,35116,34993,34908,34863,34857,34851,34845,34838,34832,34826,34859,34930,35041,35191,35381,35572,35764,35957,36150,36345,36460,36493,36447,36319,36112,35905,35700,35496,35293,35091,34867,34620,34353,34064,33754,33447,33142,32841,32542,32246,31968,31709,31467,31243,31037,30832,30628,30425,30224,30030,29894,29817,29799,29839,29937,30035,30134,30233,30332,30431,30700,31144,31768,32579,33584,34620,35687,36787,37922,39091,40113,40981,41690,42232,42601,42973,43348,43727,44109,44494,44962,45515,46541,47385,48135,48876,49648,50464,51360,52280,53214,55603,56540,57336,58138,59020,59970,60900,61837,62809,63819,64528,64729,64615,64342,64058,63839,63762,63862,64038,64274,64513,64665,64785,64934,64882,64591,64276,63946,63623,63325,63066,63387,64404,65587,66843,68189,69612,71053,72412,73666,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316
AUS,Australia,200000,205195,210524,215992,221602,227357,233263,239321,245537,251914,258627,265344,272236,279307,286561,294004,301640,309474,317512,323943,328728,331827,333197,332795,332395,331994,331595,331195,330797,332089,335111,339904,346508,354966,363631,372507,381599,390914,400456,411303,423526,437202,452407,469223,486665,504755,523518,542978,563161,589474,622584,663068,711848,769783,832432,900180,973442,1052666,1138338,1217210,1288328,1350647,1403026,1444218,1486620,1530266,1575194,1621441,1669046,1715208,1759825,1802792,1843995,1883321,1923486,1964507,2006403,2049192,2092894,2143510,2201397,2266925,2340480,2422463,2507319,2595146,2686050,2780138,2877522,2968141,3051572,3127374,3195087,3254230,3314469,3375822,3438311,3501956,3566779,3630608,3693392,3755077,3815607,3874926,3935167,3996345,4058473,4121568,4185642,4254768,4329104,4408814,4494067,4585034,4677842,4772528,4869131,4967689,5069403,5171666,5274460,5377766,5481563,5585832,5692084,5800358,5910690,6023122,6137692,6241064,6332911,6412898,6480684,6535920,6591627,6647809,6704469,6761613,6819243,6887974,6968070,7059804,7163452,7279295,7397011,7516631,7638185,7761706,7887223,8025619,8177348,8398224,8595064,8782177,8970121,9165700,9371781,9587459,9808595,10028799,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26658948
AUT,Austria,3000000,3017451,3035004,3052658,3070416,3088277,3106241,3124310,3142485,3160765,3179258,3197752,3216353,3235063,3253881,3272809,3291847,3310996,3330256,3349015,3367266,3385004,3402223,3418916,3435691,3452549,3469489,3486512,3503619,3520820,3538115,3555505,3572991,3590572,3608240,3625995,3643838,3661768,3679786,3698789,3718786,3739787,3761804,3784847,3808031,3831357,3854826,3878438,3902195,3926782,3952208,3978557,4005766,4033846,4062123,4090598,4119272,4148148,4177226,4206120,4234828,4263344,4291666,4319789,4348096,4376588,4405268,4434135,4463191,4494618,4528451,4564726,4603479,4644745,4686381,4728390,4770776,4813542,4856691,4900094,4943751,4987664,5031834,5076262,5121082,5166298,5211912,5257930,5304354,5352740,5403122,5455532,5510006,5566579,5623732,5681471,5739804,5798736,5858272,5918417,5979177,6040558,6102566,6165209,6228494,6292428,6357019,6422273,6488197,6538011,6571589,6588805,6589531,6573639,6557784,6541968,6526190,6510449,6494626,6486498,6486071,6493354,6508357,6531085,6553893,6576781,6599749,6622797,6645925,6664880,6679646,6690205,6696544,6698645,6700747,6702849,6704952,6707055,6709160,6715381,6725736,6740238,6758904,6781749,6804670,6827669,6850746,6873901,6897134,6917985,6936442,6931346,6931194,6935149,6942617,6953404,6967624,6985724,7008415,7036554,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761
