ISO3	Year	Conflict Stock Displacement	Conflict Internal Displacements	Conflict Internal Displacements (Raw)	Disaster Internal Displacements (Raw)	Disaster Stock Displacement (Raw)
AB9	2024	42000	21000	20756	14570	
AFG	2024	4187000	3200	3219	1016707	1270301
AZE	2024	658000			101	
BDI	2024	6900	360	362	60035	85297
BEN	2024	13000			3679	
BFA	2024	2063000	380000	379980	4008	2824
BGD	2024	585000	2800	2755	2401634	171907
BIH	2024	95000			457	0
BRA	2024	19000	19000	19043	1124221	0
CAF	2024	469000	94000	93820	19291	0
CMR	2024	1029000	93000	93046	260933	29300
COD	2024	6215000	5333000	5333075	750244	680826
COL	2024	7265000	388000	387952	91009	0
COM	2024	11	11	11	1017	27
CYP	2024	245000			1472	13
ECU	2024	49000	101000	100719	4434	8809
ETH	2024	2378000	387000	386914	227466	756568
GEO	2024	299000			297	48582
GHA	2024	3200			1813	1779
GTM	2024	573000	550	553	80891	0
HND	2024	101000	4300	4306	20187	0
HTI	2024	1037000	889000	888684	4807	3766
IDN	2024	57000	14000	14296	516237	38555
IND	2024	525000	1700	1736	5431168	117796
IRQ	2024	1031000	23000	22947	46004	170338
ISR	2024	68000	740	743		
KEN	2024	100000	38000	38079	314433	184936
LBN	2024	985000	1056000	1055662	2375	0
LBY	2024	107000	340	336	12650	32102
LKA	2024	4800			83510	743
MDG	2024	180	180	182	59074	9686
MEX	2024	390000	26000	25543	52738	0
MLI	2024	361000	131000	130600	29542	17772
MMR	2024	3521000	1232000	1231900	525127	125958
MOZ	2024	580000	240000	240279	585268	138466
MWI	2024	880	680	677	65033	134847
NER	2024	412000	100000	99844	1172018	479880
NGA	2024	3359000	295000	295311	1244676	350015
PAK	2024	22000	3500	3523	169016	203274
PER	2024	78000			48742	5653
PHL	2024	123000	193000	193055	8996338	1035618
PNG	2024	84000	12000	11721	31164	23934
PSE	2024	2032000	3216000	3216490		
RUS	2024	171000	182000	182207	43337	2266
SDN	2024	11560000	3778000	3777679	199946	0
SEN	2024	5900			56564	
SLB	2024	11	11	11		
SLV	2024	35000	39000	38930	5462	0
SOM	2024	3136000	316000	316316	156302	733405
SRB	2024	194000			1	
SSD	2024	945000	269000	269274	423354	415164
SYR	2024	7409000	768000	768126		0
TCD	2024	383000	63000	63306	1325070	1159612
TGO	2024	18000			9	
UGA	2024	1700	1900	1851	98280	20494
UKR	2024	3665000	306000	306044	758	
XKX	2024	16000				
YEM	2024	4796000	36000	36442	492443	0
ZAF	2024	29	29	29	36481	7356
ZMB	2024	190	510	513	168579	131163
ZWE	2024	400	140	140	92290	32274
AB9	2023	42000	7900	7947	1045	4409
AFG	2023	4187000			418248	1502116
ARM	2023	7600				
AZE	2023	658000	5100	5070	1692	
BDI	2023	8100	230	226	20650	65754
BEN	2023	8800	6500	6502		
BFA	2023	2063000	713000	713417	24139	0
BGD	2023	426000			1790885	55441
BIH	2023	95000			125	
BRA	2023	16000	16000	15602	745314	15797
CAF	2023	512000	214000	214443	69991	0
CMR	2023	1044000	164000	164047	2925	30939
COD	2023	6737000	3772000	3772340	132838	147164
COL	2023	5077000	329000	329220	350653	
CYP	2023	248000			57	
ETH	2023	2852000	794000	794266	617907	880589
GEO	2023	296000			846	39372
GHA	2023	3800	680	679	46876	39333
GMB	2023	5700			5286	
GTM	2023	242000	580	575	47508	
HND	2023	101000	5100	5068	5787	
HTI	2023	311000	245000	245022	9778	2552
IDN	2023	48000	3700	3720	238456	8998
IND	2023	517000	67000	66698	528442	89906
IRQ	2023	1124000	21000	21240	36390	135498
ISR	2023	200000	203000	202736	42	
KEN	2023	38000	7700	7717	641066	130758
LBN	2023	74000	139000	139479	171	
LBY	2023	119000	1700	1702	52716	0
LKA	2023	11000			16551	1371
MEX	2023	390000	11000	11041	195864	
MKD	2023	110				
MLI	2023	344000	184000	183869	1255	8017
MMR	2023	2625000	1298000	1297900	995055	235034
MOZ	2023	592000	41000	40742	655289	115003
NCL	2023	150			2	
NER	2023	347000	181000	180614	94986	31592
NGA	2023	3340000	291000	290798	165912	80963
NIC	2023	1300	280	283	658	
PAK	2023	21000	2800	2788	731836	1215864
PER	2023	75000			187989	5026
PHL	2023	110000	161000	161407	2594639	291488
PNG	2023	84000	2000	2013	13498	7483
PSE	2023	1707000	3436000	3435904		
RUS	2023	60000	60000	60006	14862	1157
SDN	2023	9053000	6039000	6038666	58494	0
SEN	2023	8400				
SLB	2023	1000			638	638
SLV	2023	49000	66000	66000	5276	
SOM	2023	3862000	673000	673034	2043426	0
SRB	2023	194000			401	
SSD	2023	1121000	282000	282396	167489	562593
SYR	2023	7248000	174000	174420	702205	0
TCD	2023	452000	118000	118390	15606	86383
TGO	2023	18000	12000	12421		
UGA	2023	4800	640	635	50213	5151
UKR	2023	3689000	714000	713911	598	
XKX	2023	16000			1065	
YEM	2023	4516000	80000	79828	239617	0
ZAF	2023	620	620	621	20311	5984
AB9	2022	56000	56000	55750	28803	
AFG	2022	4513000	32000	32424	220387	2098730
ARM	2022	7600	7600	7600		
AZE	2022	659000		0	189	
BDI	2022	8500	600	601	12850	66805
BEN	2022	1200	1200	1231	6892	6892
BFA	2022	1882000	438000	438462	2421	
BGD	2022	426000	120	122	1523951	8595
BIH	2022	91000			78	58
BRA	2022	5600	5600	5582	708382	43814
CAF	2022	516000	290000	290408	77103	0
