date,Battery (Charging) -  MW,Pumps -  MW,Coal (Brown) -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Wind (Curtailment) -  MW,Solar (Utility) (Curtailment) -  MW,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,
3/9/2025 0:00,-76.55,0,3160.66,10574.53,44.41,-0.02,40,230.46,409.7,0,28.73,16.73,1039.55,6766.15,0.19,0,95.58,0,1867.45,4722.34,0.77,0,11.52,59.47,119.48,0,8.57,610.73,61.77,
3/9/2025 0:30,-42.02,0,3020.98,10304.17,43.07,-0.02,40.83,100.06,421.83,0,27.92,37.08,983.4,6804.32,0.26,0,30.23,0,1786.61,4601.71,0.77,0,11.76,29.86,122.99,0,8.34,603.63,47.92,
3/9/2025 1:00,-67.35,0,2950.85,10178.02,43.07,35.88,40.17,89.44,446.59,0,27.96,49.31,907.89,6610.92,0.26,0,25.1,0,1745.6,4545.29,0.76,14.92,11.56,27.6,131.9,0,8.35,608.64,105.94,
3/9/2025 1:30,-84.87,0,2954.87,9933.26,45.4,-0.5,40.5,92.19,502.25,67.65,28.66,14.91,724.57,6486.87,0.26,0,22.73,0,1748.28,4437.67,0.8,0,11.66,28.44,149.96,19.95,8.55,615.72,51.48,
3/9/2025 2:00,-147.75,0,3123.09,9861.21,42.43,0,40.5,99.03,490.3,49.19,28.07,15.59,728.9,6154.89,0.18,0,7.35,0,1846.14,4406.12,0.77,0,11.66,30.54,144.19,14.5,8.38,630.91,66.61,
3/9/2025 2:30,-78.9,0,3245.48,9701.25,43.04,0,41,99.07,398.61,35.27,24.59,9.08,741.55,5879.6,0.22,0,0,0,1916.87,4336.12,0.77,0,11.8,30.55,116.65,10.4,7.4,638.59,48.63,
3/9/2025 3:00,-203.78,0,3262.24,9652.12,45.3,0,40.33,98.87,379.85,0,27.08,3.22,719.73,5911.86,0.22,0,0.15,0,1926.07,4313.8,0.8,0,11.61,30.49,110.8,0,8.11,642.19,50.36,
3/9/2025 3:30,-288.6,0,2875.81,9678.38,44.37,0,40,99.33,352.09,0,25.2,0.1,702.46,6294.06,0.22,0,17.59,0,1702.72,4324.72,0.78,0,11.52,30.63,102.74,0,7.57,623.57,45.28,
3/9/2025 4:00,-484.46,0,2697.7,9902.51,39.32,0,40.33,98.5,326.24,0,25.33,1.84,711.89,6550.7,0.22,0,176.49,0,1599.39,4423.46,0.73,0,11.61,30.38,95.23,0,7.61,619.63,42.87,
3/9/2025 4:30,-409.4,0,2698.95,10073.14,43.52,0,40,111.96,330.8,0,25.63,0.75,766.49,6437.2,0.22,0,136.1,0,1600.12,4498.44,0.77,0,11.52,34.5,96.54,0,7.69,621.25,47.28,
3/9/2025 5:00,-299.04,0,2708.97,10285.61,45.23,0,40.83,119.28,287.61,0,25.91,7.71,805.2,6438.85,0.14,0,169.52,0,1605.83,4594.05,0.79,0,11.76,36.75,83.99,0,7.75,619.64,45.2,
3/9/2025 5:30,-27.21,0,2726.56,10541.55,41.97,0,41.5,119.61,249.61,0,24.79,81.8,1041.86,6494.89,0.1,0,176.9,0,1615.85,4710.04,0.75,0,11.95,36.85,73.12,0,7.42,605.14,43.6,
3/9/2025 6:00,-38.98,0,2792.05,10746.23,46.41,0,41.67,119.53,249.84,0,24.8,327.44,1346.68,6712.45,0.19,7.64,44.74,0,1653.3,4799.98,0.8,0,12,36.82,72.41,0,7.43,588.38,56.68,
3/9/2025 6:30,-127.6,0,3290.36,11067.94,46.52,0,41.83,110.62,253.04,0,24.99,610.59,1737.97,6790.5,78.63,127.95,20.11,3.38,1940.6,4939.83,0.82,0,12.04,34.09,73.28,0,7.48,582.72,68.48,
3/9/2025 7:00,-10.94,0,3488.72,10911.11,41.46,-0.05,41.67,109.3,289.36,0,22.34,591.03,1755.31,6721.49,879.26,700.61,157.23,9.9,2056.38,4869.37,0.74,0,12,33.69,83.13,0,6.73,553,148.37,
3/9/2025 7:30,-113.84,-20.69,3752.62,10390.36,34.52,-0.05,41.33,109.02,212.13,0,24.5,285.19,1221.72,6498.88,2541.76,1773.89,292.36,44.95,2208.78,4636.47,0.64,0,11.9,33.6,60.64,0,7.34,520.3,72.54,
3/9/2025 8:00,-201.7,-266.6,3423.11,9004.07,34.95,0,40.5,109.02,202.27,0,23.36,27.53,1089.42,6441.52,4013.72,3310.18,190.21,629.45,2019.17,4020.17,0.64,0,11.66,33.6,57.84,0,7.02,451.36,10.51,
3/9/2025 8:30,-309.21,-477.63,3040.18,7604.06,34.02,0,40,109.1,97.51,0,22.74,17.01,949.36,6278.47,4875.42,5146.1,220.27,1138.57,1798.18,3399.85,0.63,0,11.52,33.63,27.09,0,6.85,384.86,17.85,
3/9/2025 9:00,-517.19,-545.29,2557.83,6838.43,31.3,-0.1,40.33,102.79,122.61,0,22.53,1.35,891.79,5786.07,4942.91,7077.7,374.53,1528.72,1515.77,3057.82,0.61,0,11.61,31.69,33.02,0,6.79,340.53,10.45,
3/9/2025 9:30,-759.53,-810.74,2382.21,6317.53,28.22,-0.02,40.17,99.18,102.32,0,21.37,0.46,873.18,5430.39,4975.04,8695.12,502.93,1899.1,1412.45,2824.5,0.57,0,11.56,30.59,27.81,0,6.46,314.94,7.86,
3/9/2025 10:00,-971.13,-1051.82,2411.65,5988,26.67,0,41.17,98.56,80.6,0,21.42,2.24,792.87,5293.85,4733.61,9898.65,692.14,2462.27,1429.83,2672.91,0.56,0,11.85,30.4,22.31,0,6.47,305.07,-0.55,
3/9/2025 10:30,-869.04,-1197.81,2363.89,5950.98,29.22,-0.02,41,99.06,39.65,0,21.36,2.43,757.4,4905.77,4376.41,10921.61,1215.89,2575.61,1402.7,2654.66,0.57,0,11.8,30.55,11.87,0,6.45,300.17,-3.88,
3/9/2025 11:00,-805.33,-1198.13,2343.02,5879.84,30.23,0,40.5,99.3,38.01,0,21.08,1.05,720.25,4483.29,4123.44,11666.51,1604.66,2580.72,1390.59,2620.91,0.53,0,11.66,30.62,11.45,0,6.37,296.77,-10.54,
3/9/2025 11:30,-738.85,-1197.07,2297.07,5687.39,22.4,0,40.17,114.24,37.99,0,21.35,1.4,732.59,4183.58,4108.03,12167.36,1968.96,2779.96,1364.63,2533.32,0.39,0,11.56,33.63,11.45,0,6.45,288.34,-11.83,
